| time |ARegister|DRegister|PC[]|RAM16K[16|RAM16K[17|RAM16K[18|RAM16K[19|
| 0    |       0 |       0 |   0|       0 |       0 |       0 |       0 |
| 1    |      16 |       0 |   1|       9 |       3 |       6 |       0 |
| 2    |      16 |       9 |   2|       9 |       3 |       6 |       0 |
| 3    |      17 |       9 |   3|       9 |       3 |       6 |       0 |
| 4    |      17 |      12 |   4|       9 |       3 |       6 |       0 |
| 5    |      18 |      12 |   5|       9 |       3 |       6 |       0 |
| 6    |      18 |       6 |   6|       9 |       3 |       6 |       0 |
| 7    |      19 |       6 |   7|       9 |       3 |       6 |       0 |
| 8    |      19 |       6 |   8|       9 |       3 |       6 |       6 |
| 9    |       0 |       6 |   0|       9 |       3 |       6 |       6 |
| 10   |      16 |       6 |   1|       8 |       7 |       5 |       6 |
| 11   |      16 |       8 |   2|       8 |       7 |       5 |       6 |
| 12   |      17 |       8 |   3|       8 |       7 |       5 |       6 |
| 13   |      17 |      15 |   4|       8 |       7 |       5 |       6 |
| 14   |      18 |      15 |   5|       8 |       7 |       5 |       6 |
| 15   |      18 |      10 |   6|       8 |       7 |       5 |       6 |
| 16   |      19 |      10 |   7|       8 |       7 |       5 |       6 |
| 17   |      19 |      10 |   8|       8 |       7 |       5 |      10 |
