| time |ARegister|DRegister|PC[]|RAM16K[16|RAM16K[17|RAM16K[18|
| 0    |       0 |       0 |   0|       0 |       0 |       0 |
| 1    |      16 |       0 |   1|       5 |       3 |       0 |
| 2    |      16 |       5 |   2|       5 |       3 |       0 |
| 3    |      17 |       5 |   3|       5 |       3 |       0 |
| 4    |      17 |       2 |   4|       5 |       3 |       0 |
| 5    |      10 |       2 |   5|       5 |       3 |       0 |
| 6    |      10 |       2 |  10|       5 |       3 |       0 |
| 7    |      18 |       2 |  11|       5 |       3 |       0 |
| 8    |      18 |       2 |  12|       5 |       3 |       2 |
| 9    |       0 |       2 |  13|       5 |       3 |       2 |
| 10   |       0 |       2 |  14|       5 |       3 |       2 |
| 11   |       0 |       2 |  15|       5 |       3 |       2 |
| 12   |       0 |       2 |  16|       5 |       3 |       2 |
| 13   |       0 |       2 |  17|       5 |       3 |       2 |
| 14   |       0 |       2 |   0|       5 |       3 |       2 |
| 15   |      16 |       2 |   1|       5 |       9 |       2 |
| 16   |      16 |       5 |   2|       5 |       9 |       2 |
| 17   |      17 |       5 |   3|       5 |       9 |       2 |
| 18   |      17 |      -4 |   4|       5 |       9 |       2 |
| 19   |      10 |      -4 |   5|       5 |       9 |       2 |
| 20   |      10 |      -4 |   6|       5 |       9 |       2 |
| 21   |      17 |      -4 |   7|       5 |       9 |       2 |
| 22   |      17 |       9 |   8|       5 |       9 |       2 |
| 23   |      16 |       9 |   9|       5 |       9 |       2 |
| 24   |      16 |       4 |  10|       5 |       9 |       2 |
| 25   |      18 |       4 |  11|       5 |       9 |       2 |
| 26   |      18 |       4 |  12|       5 |       9 |       4 |
| 27   |       0 |       4 |  13|       5 |       9 |       4 |
